iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8799494014066807,2.873998095007504,0.09283088235294118,36.50104641914368,False,,,1,7f13fad4,88b412497a5d48d9bcfa7302f4252c1c,2023-01-23_08-54-27,1674464067,36.50104641914368,36553,ML-RefVm-847530,10.0.0.18,36.50104641914368,0,1,0.005318164825439453
0,2.8528552335851334,2.935951036565444,0.10110294117647059,38.24130034446716,False,0,0,1,7f13fad4,88b412497a5d48d9bcfa7302f4252c1c,2023-01-23_08-58-52,1674464332,74.74234676361084,36557,ML-RefVm-847530,10.0.0.18,38.24130034446716,0,1,0.006443500518798828
1,2.2791932540781357,2.2663135177948894,0.27205882352941174,36.73806977272034,False,0,0,2,7f13fad4,88b412497a5d48d9bcfa7302f4252c1c,2023-01-23_08-59-28,1674464368,111.48041653633118,36557,ML-RefVm-847530,10.0.0.18,74.9793701171875,0,2,0.006443500518798828
2,1.3246878899779975,1.0926268591600306,0.6746323529411765,37.4577910900116,False,0,0,3,7f13fad4,88b412497a5d48d9bcfa7302f4252c1c,2023-01-23_09-00-06,1674464406,148.93820762634277,36557,ML-RefVm-847530,10.0.0.18,112.4371612071991,0,3,0.006443500518798828
0,2.813389104955337,2.572162193410537,0.13786764705882354,31.263179302215576,False,0,0,1,7f13fad4,88b412497a5d48d9bcfa7302f4252c1c,2023-01-23_09-06-15,1674464775,180.20138692855835,40679,ML-RefVm-847530,10.0.0.18,31.263179302215576,0,1,0.009581804275512695
1,2.253608848534378,2.0185995312298046,0.38327205882352944,29.367371797561646,False,0,0,2,7f13fad4,88b412497a5d48d9bcfa7302f4252c1c,2023-01-23_09-06-45,1674464805,209.56875872612,40679,ML-RefVm-847530,10.0.0.18,60.63055109977722,0,2,0.009581804275512695
2,1.5031521332030202,1.2115324385025923,0.6576286764705882,32.224201917648315,False,0,0,3,7f13fad4,88b412497a5d48d9bcfa7302f4252c1c,2023-01-23_09-07-17,1674464837,241.7929606437683,40679,ML-RefVm-847530,10.0.0.18,92.85475301742554,0,3,0.009581804275512695
3,0.7299517474922479,0.6907504411304698,0.8170955882352942,28.921774864196777,False,0,0,4,7f13fad4,88b412497a5d48d9bcfa7302f4252c1c,2023-01-23_09-07-46,1674464866,270.7147355079651,40679,ML-RefVm-847530,10.0.0.18,121.77652788162231,0,4,0.009581804275512695
4,0.6425921180668999,1.3568851947784424,0.6116727941176471,32.1911084651947,False,0,0,5,7f13fad4,88b412497a5d48d9bcfa7302f4252c1c,2023-01-23_09-08-18,1674464898,302.9058439731598,40679,ML-RefVm-847530,10.0.0.18,153.96763634681702,0,5,0.009581804275512695
5,0.6830357821548686,0.5472103041761062,0.8239889705882353,28.242777109146118,False,0,0,6,7f13fad4,88b412497a5d48d9bcfa7302f4252c1c,2023-01-23_09-08-46,1674464926,331.1486210823059,40679,ML-RefVm-847530,10.0.0.18,182.21041345596313,0,6,0.009581804275512695
6,0.30985180244726296,0.4197917983812444,0.8759191176470589,28.170202016830444,False,0,0,7,7f13fad4,88b412497a5d48d9bcfa7302f4252c1c,2023-01-23_09-09-14,1674464954,359.31882309913635,40679,ML-RefVm-847530,10.0.0.18,210.38061547279358,0,7,0.009581804275512695
7,0.19234741172369788,0.2858938224175397,0.9255514705882353,30.7861328125,False,0,0,8,7f13fad4,88b412497a5d48d9bcfa7302f4252c1c,2023-01-23_09-09-45,1674464985,390.10495591163635,40679,ML-RefVm-847530,10.0.0.18,241.16674828529358,0,8,0.009581804275512695
8,0.10480411241159719,0.24143562772694757,0.9315257352941176,22.43448281288147,False,0,0,9,7f13fad4,88b412497a5d48d9bcfa7302f4252c1c,2023-01-23_09-10-08,1674465008,412.5394387245178,40679,ML-RefVm-847530,10.0.0.18,263.60123109817505,0,9,0.009581804275512695
